@W: CG360 :"W:\projects\security-contest\libero\contest\component\Actel\DirectCore\COREJTAGDEBUG\3.1.100\core\corejtagdebug.v":147:8:147:52|Removing wire UJTAG_BYPASS_TDO_0, as there is no assignment to it.
@W: CL169 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":4894:2:4894:7|Pruning unused register CsrPlugin_lastStageWasWfi. Make sure that there are no unused intermediate registers.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused bits 31 to 2 of _zz_97_[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL265 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Removing unused bit 0 of _zz_97_[31:0]. Either assign all bits or reduce the width of the signal.
@W: CL265 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Removing unused bit 32 of memory_DivPlugin_rs1_9[32:0]. Either assign all bits or reduce the width of the signal.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused bits 64 to 32 of memory_DivPlugin_accumulator_8[64:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused bits 31 to 30 of execute_to_memory_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused bits 27 to 15 of execute_to_memory_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning unused bits 6 to 0 of execute_to_memory_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":4894:2:4894:7|Pruning unused bits 31 to 30 of memory_to_writeBack_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":4894:2:4894:7|Pruning unused bits 27 to 15 of memory_to_writeBack_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL271 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":4894:2:4894:7|Pruning unused bits 6 to 0 of memory_to_writeBack_INSTRUCTION[31:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL260 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning register bit 2 of CsrPlugin_exceptionPortCtrl_exceptionContext_code[3:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL260 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning register bit 0 of execute_to_memory_BRANCH_CALC[31:0]. If this is not the intended behavior, drive the input with valid values, or an input from the top level.
@W: CL279 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":5214:2:5214:7|Pruning register bits 1 to 0 of CsrPlugin_interrupt_code[3:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CG360 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":675:8:675:19|Removing wire outHitSignal, as there is no assignment to it.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":6499:20:6499:32|Input port bits 31 to 17 of io_apb_PWDATA[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":6281:20:6281:32|Input port bits 31 to 8 of io_apb_PWDATA[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":6099:20:6099:60|Input port bits 31 to 20 of io_pipelinedMemoryBus_cmd_payload_address[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":6035:20:6035:45|Input port bits 31 to 16 of io_bus_cmd_payload_address[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":6035:20:6035:45|Input port bits 1 to 0 of io_bus_cmd_payload_address[31:0] are unused. Assign logic for all port bits or change the input port size.
@W: CL246 :"W:\projects\security-contest\libero\contest\hdl\Murax.v":1173:19:1173:47|Input port bits 1 to 0 of debug_bus_cmd_payload_address[7:0] are unused. Assign logic for all port bits or change the input port size.

